a_id,average_lenth_from_tweets,average_number_words_per_tweet,average_time_between_tweets,creation_content_sources,creation_date,default_profile,default_profile_image,desviacion_tipica_average_tweet_time,last_24_hours_tweet,lexical_diversity,location,name_length,name_letters_amount,name_numbers_amount,number_of_hashtags,number_of_mentions,number_of_tweets,number_of_urls,percent_negative_tweets,percent_neutral_tweets,percent_positive_tweets,ratio_friends_followers,smog_index,total_number_of_words,total_unique_words,verified
740506215243993088,82.0,9.375,2428289333,1,2016-06-08 11:30:14,True,False,7547144.068221975,0,0.815217391304,True,7,4,3,3,24,29,17,15,84,0,1.68,9.4,276,225,False
33204053,99.55,8.46,115814790,4,2009-04-19 13:57:30,False,False,1005957.3060039316,0,0.596614950635,True,8,6,2,38,83,4491,66,0,45,55,3.38939670932,11.0,1418,846,False
950074049195118592,135.66666666666666,17.0,3693880666,2,2018-01-07 18:37:59,False,False,4626346.616025964,0,0.809523809524,True,9,9,0,1,3,3,2,0,33,66,0,10.1,63,51,False
842878788019142656,100.2,7.84,68226030,3,2017-03-17 23:22:17,False,False,554805.2499040632,1,0.628205128205,True,11,8,0,24,88,1033,42,5,45,50,3.24285714286,10.8,1248,784,False
963153285170438144,89.55,9.64,393389640,1,2018-02-12 20:50:12,True,False,2697755.3639218644,0,0.708823529412,True,15,7,8,2,8,25,21,5,85,10,17.2850241546,11.0,340,241,False
903672053961773056,144.0,23.0,0,1,2017-09-01 17:33:01,True,False,0.0,0,0.958333333333,True,14,14,0,1,1,1,0,100,0,0,79.0,11.2,24,23,False
465185942,68.75,8.484375,1486914828,1,2012-01-16 02:17:14,True,False,1784136.8201364006,0,0.667076167076,True,13,13,0,22,44,64,12,0,40,60,2.65555555556,9.2,814,543,False
2845331322,116.95,9.66,148024640,2,2014-10-08 00:14:07,False,False,659609.6781225925,6,0.607547169811,True,10,6,0,56,74,289,51,20,35,45,3.85106382979,10.4,1590,966,False
2558106720,58.0,7.55555555556,2499094000,3,2014-06-10 03:52:59,True,False,8884092.086321283,0,0.944444444444,True,12,10,2,1,5,9,1,0,44,55,51.0,7.4,72,68,False
980711508,132.5,10.76,5988620,2,2012-11-30 15:52:05,False,False,35437.036467903185,14,0.608253250424,True,13,13,0,70,88,1285,60,70,0,30,1.17948717949,9.9,1769,1076,False
3343839525,72.3157894736842,8.98,934346270,1,2015-06-24 11:03:39,True,False,1194634.6810190696,0,0.793987621574,True,14,14,0,8,80,139,45,0,100,0,3.24615384615,9.9,1131,898,False
993274962394996737,95.66666666666667,11.0,1905666,1,2018-05-06 23:42:59,True,False,2612.1808257979897,3,0.733333333333,True,8,8,0,0,3,3,2,33,66,0,5.17647058824,11.2,45,33,False
2396838454,87.3,9.94,15489330,2,2014-03-09 13:51:27,False,False,103860.02497220717,2,0.674813306178,True,15,4,0,27,42,2282,59,25,60,15,1.16524520256,10.2,1473,994,False
221438093,48.8,6.8,27021252000,1,2010-11-30 17:31:05,True,False,52038578.42660097,0,0.944444444444,True,6,4,2,0,3,5,1,40,40,20,5.16666666667,8.8,36,34,False
327844582,0,0,0,0,2011-07-02 07:40:28,True,False,0,0,0,True,7,3,4,0,0,0,0,0,0,0,3.83333333333,0,0,0,False
926959448106635264,91.85,9.66666666667,654752703,2,2017-11-04 23:48:49,True,False,5536034.9527304685,0,0.74358974359,True,14,12,2,6,18,27,17,15,55,30,25.0,11.3,351,261,False
45093904,79.65,9.3,14205600350,4,2009-06-06 08:19:36,False,False,56573591.76176341,1,0.729411764706,True,12,2,0,11,13,20,1,10,50,40,2.37096774194,10.0,255,186,False
1545418879,117.55,8.89,497697850,2,2013-06-25 10:41:18,False,False,6442887.832267379,0,0.569871794872,True,14,14,0,21,81,293,67,15,45,40,1.125,11.1,1560,889,False
2762075717,62.0,5.0,0,1,2014-09-05 16:30:28,False,False,0.0,0,1.0,True,13,13,0,0,0,1,1,0,100,0,12.3333333333,8.8,5,5,False
870973322019954688,97.05,6.74468085106,689800914,1,2017-06-03 11:59:56,True,False,6787670.025739934,1,0.641700404858,True,10,10,0,33,22,47,25,0,100,0,13.6,12.9,494,317,False
116522141,130.8,9.7962962963,4852447240,1,2010-02-22 19:25:57,False,False,148281.49697129277,2,0.561571125265,True,13,13,0,6,53,54,32,5,35,60,2.90710382514,10.5,942,529,False
839148708310749184,133.42857142857142,12.0,177571,1,2017-03-07 16:20:17,True,False,425.4086150936748,0,0.682926829268,True,15,7,8,7,1,7,7,0,0,100,3.0,10.0,123,84,False
725775881436827648,122.16666666666667,10.5,164833,1,2016-04-28 19:57:09,False,False,346.18716838663386,6,0.7875,True,11,11,0,0,0,6,6,33,50,16,58.0,12.3,80,63,False
305102809,63.55,9.87,450220690,3,2011-05-25 17:01:33,False,False,5943111.711186216,0,0.754587155963,True,6,5,1,8,98,1535,37,0,95,5,0.509383378016,8.0,1308,987,False
874588872524664832,57.529411764705884,6.05882352941,1398274411,1,2017-06-13 11:26:51,True,False,9186344.345001983,0,0.798449612403,True,12,11,1,0,16,17,8,0,70,29,0,9.5,129,103,False
207617050,94.3,9.32727272727,1480145036,1,2010-10-25 17:44:58,False,False,7828071.595613323,0,0.612171837709,True,12,12,0,2,54,55,11,0,35,65,5.38888888889,8.6,838,513,False
835583458550263808,102.15,10.3793103448,1387969827,1,2017-02-25 20:13:15,True,False,2297942.4913611305,0,0.809139784946,True,9,9,0,2,23,29,13,10,60,30,30.3333333333,9.5,372,301,False
